epoch,loss,predictions_etc_loss,predictions_etc_mse,predictions_exp_accuracy,predictions_exp_loss,val_loss,val_predictions_etc_loss,val_predictions_etc_mse,val_predictions_exp_accuracy,val_predictions_exp_loss
0,1.5502228736877441,0.1515142321586609,0.1515142321586609,0.5522908568382263,1.2672755718231201,2.9276375770568848,0.2597825229167938,0.2597825229167938,0.22380594909191132,2.604740858078003
1,1.1943135261535645,0.12334631383419037,0.12334631383419037,0.6454773545265198,1.0205129384994507,3.068502902984619,0.193547323346138,0.193547323346138,0.24031007289886475,2.8327808380126953
2,1.0880458354949951,0.11366438865661621,0.11366438865661621,0.6742089986801147,0.9362475275993347,2.213378667831421,0.20846423506736755,0.20846423506736755,0.3805951476097107,1.9708168506622314
3,1.0301628112792969,0.10758283734321594,0.10758283734321594,0.6904357671737671,0.8894644379615784,2.497652053833008,0.3457709848880768,0.3457709848880768,0.34083521366119385,2.1203818321228027
4,0.9920650124549866,0.10357910394668579,0.10357910394668579,0.7018553614616394,0.8579092621803284,2.4152908325195312,0.24665644764900208,0.24665644764900208,0.34533634781837463,2.1388258934020996
5,0.9673557281494141,0.10053883492946625,0.10053883492946625,0.70893394947052,0.8377567529678345,2.1990091800689697,0.16539296507835388,0.16539296507835388,0.3395848870277405,2.0057902336120605
6,0.9466480016708374,0.09836330264806747,0.09836330264806747,0.7148507237434387,0.8200339674949646,2.076240062713623,0.22493290901184082,0.22493290901184082,0.3843460977077484,1.8240231275558472
7,0.9299775958061218,0.096585713326931,0.096585713326931,0.7203570008277893,0.805715024471283,2.0612804889678955,0.16735799610614777,0.16735799610614777,0.39959990978240967,1.866695523262024
8,0.9180236458778381,0.09525679796934128,0.09525679796934128,0.7235293388366699,0.7955220341682434,2.3211982250213623,0.20779161155223846,0.20779161155223846,0.35458865761756897,2.0859739780426025
9,0.9068573713302612,0.09401367604732513,0.09401367604732513,0.7267990112304688,0.7860898375511169,2.6013944149017334,0.211252823472023,0.211252823472023,0.2873218357563019,2.36366868019104
10,0.896835446357727,0.09258370846509933,0.09258370846509933,0.7295226454734802,0.7776585817337036,2.5469870567321777,0.19301432371139526,0.19301432371139526,0.3350837826728821,2.326883554458618
11,0.8889650702476501,0.09191965311765671,0.09191965311765671,0.732176661491394,0.7706875205039978,2.2376132011413574,0.1761055588722229,0.1761055588722229,0.402100533246994,2.035620927810669
